helysegnev;tipus;megye;Járás neve;Járás székhelye;terulet;lakossag;lakosokszama
Apagy;község;Szabolcs-Szatmár-Bereg;Nyíregyházi;Nyíregyháza;3 199;2187;855
Apaj;község;Pest;Ráckevei;Ráckeve;7 104;1087;428
Aparhant;község;Tolna;Bonyhádi;Bonyhád;1 797;931;385
Apátfalva;község;Csongrád-Csanád;Makói;Makó;5 384;2809;1508
Apátistvánfalva;község;Vas;Szentgotthárdi;Szentgotthárd;1 286;382;160
Apátvarasd;község;Baranya;Pécsváradi;Pécsvárad;814;121;40
Apc;község;Heves;Hatvani;Hatvan;2 046;2441;1087
Áporka;község;Pest;Ráckevei;Ráckeve;1 747;1253;523
Apostag;község;Bács-Kiskun;Kunszentmiklósi;Kunszentmiklós;3 194;2014;979
Aranyosapáti;község;Szabolcs-Szatmár-Bereg;Vásárosnaményi;Vásárosnamény;2 112;2003;640
Aranyosgadány;község;Baranya;Pécsi;Pécs;826;335;137
Arka;község;Borsod-Abaúj-Zemplén;Gönci;Gönc;949;49;72
Arló;nagyközség;Borsod-Abaúj-Zemplén;Ózdi;Ózd;4 687;3573;1124
Arnót;község;Borsod-Abaúj-Zemplén;Miskolci;Miskolc;1 754;2260;819
Ároktő;község;Borsod-Abaúj-Zemplén;Mezőcsáti;Mezőcsát;4 641;1056;452
Árpádhalom;község;Csongrád-Csanád;Szentesi;Szentes;4 520;394;227
Árpás;község;Győr-Moson-Sopron;Téti;Tét;1 426;260;142
Ártánd;község;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;1 981;497;234
Ásotthalom;nagyközség;Csongrád-Csanád;Mórahalmi;Mórahalom;12 254;3649;1901
Ásványráró;község;Győr-Moson-Sopron;Mosonmagyaróvári;Mosonmagyaróvár;3 911;2117;884
Aszaló;község;Borsod-Abaúj-Zemplén;Szikszói;Szikszó;2 536;1883;620
Ászár;község;Komárom-Esztergom;Kisbéri;Kisbér;1 868;1425;671
Aszód;város;Pest;Aszódi;Aszód;1 620;6116;2629
Aszófő;község;Veszprém;Balatonfüredi;Balatonfüred;832;467;195
Áta;község;Baranya;Pécsi;Pécs;809;152;87
Átány;község;Heves;Hevesi;Heves;5 044;1436;517
Atkár;község;Heves;Gyöngyösi;Gyöngyös;3 376;1721;741
Attala;község;Tolna;Dombóvári;Dombóvár;2 064;720;346
Babarc;község;Baranya;Bólyi;Bóly;1 885;683;311
Babarcszőlős;község;Baranya;Siklósi;Siklós;425;99;60
Babócsa;község;Somogy;Barcsi;Barcs;3 099;1353;685
Bábolna;város;Komárom-Esztergom;Komáromi;Komárom;3 354;3431;1382
Bábonymegyer;község;Somogy;Tabi;Tab;2 193;771;342
Babosdöbréte;község;Zala;Zalaegerszegi;Zalaegerszeg;1 252;504;240
Babót;község;Győr-Moson-Sopron;Kapuvári;Kapuvár;2 167;1069;487
Bácsalmás;város;Bács-Kiskun;Bácsalmási;Bácsalmás;10 829;6058;3109
Bácsbokod;nagyközség;Bács-Kiskun;Bácsalmási;Bácsalmás;6 393;2276;1177
Bácsborsód;község;Bács-Kiskun;Bácsalmási;Bácsalmás;7 752;1038;419
Bácsszentgyörgy;község;Bács-Kiskun;Bajai;Baja;1 474;125;87
Bácsszőlős;község;Bács-Kiskun;Bácsalmási;Bácsalmás;3 883;306;212
Badacsonytomaj;város;Veszprém;Tapolcai;Tapolca;3 270;2144;1179
Badacsonytördemic;község;Veszprém;Tapolcai;Tapolca;1 025;874;503
Bag;nagyközség;Pest;Aszódi;Aszód;2 355;3718;1339
Bagamér;nagyközség;Hajdú-Bihar;Nyíradonyi;Nyíradony;4 702;2344;936
Baglad;község;Zala;Lenti;Lenti;486;43;38
Bagod;község;Zala;Zalaegerszegi;Zalaegerszeg;1 637;1216;471
Bágyogszovát;község;Győr-Moson-Sopron;Csornai;Csorna;2 406;1261;551
Baj;község;Komárom-Esztergom;Tatai;Tata;2 112;2888;1673
Baja;megyei jogú város;Bács-Kiskun;Bajai;Baja;17 789;33142;17251
Bajánsenye;község;Vas;Körmendi;Körmend;2 185;478;244
Bajna;község;Komárom-Esztergom;Esztergomi;Esztergom;3 726;1867;779
Bajót;község;Komárom-Esztergom;Esztergomi;Esztergom;1 644;1616;551
Bak;község;Zala;Zalaegerszegi;Zalaegerszeg;2 305;1528;579
Bakháza;község;Somogy;Nagyatádi;Nagyatád;592;164;80
Bakóca;község;Baranya;Hegyháti;Sásd;1 065;263;134
Bakonszeg;község;Hajdú-Bihar;Berettyóújfalui;Berettyóújfalu;3 503;1076;597
Bakonya;község;Baranya;Pécsi;Pécs;1 507;337;138
Bakonybánk;község;Komárom-Esztergom;Kisbéri;Kisbér;1 506;391;202
Bakonybél;község;Veszprém;Zirci;Zirc;2 436;1106;571
Bakonycsernye;nagyközség;Fejér;Móri;Mór;3 813;2990;1212
Bakonygyirót;község;Győr-Moson-Sopron;Pannonhalmi;Pannonhalma;685;155;112
Bakonyjákó;község;Veszprém;Pápai;Pápa;4 718;662;280
Bakonykoppány;község;Veszprém;Pápai;Pápa;683;179;117
Bakonykúti;község;Fejér;Székesfehérvári;Székesfehérvár;1 245;154;90
Bakonynána;község;Veszprém;Zirci;Zirc;1 493;939;365
Bakonyoszlop;község;Veszprém;Zirci;Zirc;1 420;432;208
Bakonypéterd;község;Győr-Moson-Sopron;Pannonhalmi;Pannonhalma;1 002;296;129
Bakonypölöske;község;Veszprém;Pápai;Pápa;1 104;379;160
Bakonyság;község;Veszprém;Pápai;Pápa;856;56;56
Bakonysárkány;község;Komárom-Esztergom;Kisbéri;Kisbér;1 412;963;390
Bakonyszentiván;község;Veszprém;Pápai;Pápa;914;217;99
Bakonyszentkirály;község;Veszprém;Zirci;Zirc;2 790;790;384
Bakonyszentlászló;község;Győr-Moson-Sopron;Pannonhalmi;Pannonhalma;3 851;1589;776
Bakonyszombathely;község;Komárom-Esztergom;Kisbéri;Kisbér;3 652;1305;602
Bakonyszücs;község;Veszprém;Pápai;Pápa;3 521;252;149
Bakonytamási;község;Veszprém;Pápai;Pápa;2 049;579;287
Baks;község;Csongrád-Csanád;Kisteleki;Kistelek;6 192;1921;870
Baksa;község;Baranya;Sellyei;Sellye;1 382;774;282
Baktakék;község;Borsod-Abaúj-Zemplén;Encsi;Encs;1 879;786;267
Baktalórántháza;város;Szabolcs-Szatmár-Bereg;Baktalórántházai;Baktalórántháza;3 524;3526;1125
Baktüttös;község;Zala;Zalaegerszegi;Zalaegerszeg;971;334;142
Balajt;község;Borsod-Abaúj-Zemplén;Edelényi;Edelény;903;523;143
Balassagyarmat;város;Nógrád;Balassagyarmati;Balassagyarmat;2 333;14036;6746
Balástya;község;Csongrád-Csanád;Kisteleki;Kistelek;11 000;3181;1817
Balaton;község;Heves;Bélapátfalvai;Bélapátfalva;1 320;943;439
Balatonakali;község;Veszprém;Balatonfüredi;Balatonfüred;3 620;690;548
Balatonakarattya;község;Veszprém;Balatonalmádi;Balatonalmádi;2 139;1093;561
Balatonalmádi;város;Veszprém;Balatonalmádi;Balatonalmádi;4 988;9943;5031
